Sensor Name,Variable,Units,Timestamp,Value,Flagged as Suspect Reading,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude,Right_Sensor Name,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 10:30,19.29999924,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 10:45,19.39999962,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 11:00,19.39999962,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 11:15,19.5,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 11:30,20.10000038,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 11:45,20.39999962,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 12:00,20.60000038,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 12:15,20.89999962,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 12:30,20.89999962,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 12:45,21.10000038,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 13:00,21.29999924,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 13:15,21.79999924,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 13:30,21.79999924,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 13:45,21.70000076,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 14:00,21.5,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 14:15,21.5,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 14:30,21.39999962,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 14:45,21.20000076,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
PER_AIRMON_MESH1756150,Temperature,Celsius,21/07/2018 15:00,21.20000076,FALSE,POINT (-1.617166 54.974211),47.36999893,2,Air Monitors,FALSE,-1.617166,54.974211,PER_AIRMON_MESH1756150,,
